TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-09 09:33:33.092,1.0135622,0.43436176,0.06839134,0.8977333,0.95075923,-0.21099077,-0.26351607,0.63002706,1.1499308,0.25399595,0.0081214085,1.1777052,0.1384486,-0.0763782,-0.09677585,0.27101782,-0.41185996,-0.6352645,-0.6241161,-0.451308,826.8132,809.89014,807.47253,799.011,947.28937,0.03570556640625,0.03619384765625,1.0040283203125,4.11224365234375,-4.56085205078125,1.009368896484375,1,1.0,1.0,1.0,1.0,75.00
2021-04-09 09:33:33.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-09 09:33:33.604,1.2261617,0.4178524,0.21309908,1.1432583,1.1664023,-0.12340528,-0.2752068,0.8968133,1.1442082,0.19544527,0.0019611912,1.1777052,0.22597222,-0.051349673,0.031306773,0.44067052,-0.31194985,-0.6197598,-0.6185259,-0.5084551,826.8132,811.50183,807.0696,810.293,799.011,0.07000732421875,0.0064697265625,1.00750732421875,2.115936279296875,-8.202056884765625,-1.577606201171875,1,1.0,1.0,1.0,1.0,75.00
2021-04-09 09:33:34.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-09 09:33:34.114,1.4900799,0.48168293,0.2708911,1.2263054,1.4051383,-0.011779017,-0.17929843,0.981439,1.1417685,0.34679645,0.06802175,1.1777052,0.33486572,-0.044796888,0.048005473,0.47533238,-0.23153627,-0.57894254,-0.64164156,-0.5302803,722.0513,815.9341,783.2967,741.39197,523.4066,0.10589599609375,-0.02734375,1.00811767578125,3.177642822265625,-6.29547119140625,2.848663330078125,1,1.0,1.0,1.0,1.0,75.00
2021-04-09 09:33:34.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-09 09:33:34.620,1.4900799,0.093765065,0.30929664,1.2263054,1.4051383,-0.09181325,-0.15299377,0.981439,1.1417685,0.34679645,0.06865521,1.1777052,0.33486572,-0.044939734,-0.043815613,0.47533238,-0.23153627,-0.5284025,-0.63360655,-0.5302803,786.1172,836.08057,807.0696,794.17584,626.9597,0.1029052734375,-0.04010009765625,0.99786376953125,2.811279296875,-0.25421142578125,5.316009521484375,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:34.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-09 09:33:35.124,1.4900799,0.26698893,0.3364416,1.2263054,1.4051383,0.024939397,-0.035549976,0.981439,1.1417685,0.33386004,0.053985924,1.1777052,0.33486572,-0.12655227,-0.16245069,0.47533238,-0.23153627,-0.45072898,-0.625689,-0.5302803,806.26373,801.4286,801.4286,812.71063,644.68866,0.09600830078125,-0.09906005859375,1.01861572265625,7.46185302734375,0.590667724609375,7.170257568359375,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:35.636,1.4900799,1.0640615,0.38928458,1.2263054,1.4051383,0.3411195,0.035256647,0.981439,1.1417685,0.123715565,0.10820586,1.1777052,0.33486572,-0.15282455,-0.109523706,0.47533238,-0.23153627,-0.44964284,-0.5616776,-0.5302803,835.6777,822.7839,802.6374,816.337,767.98535,-0.006103515625,-0.06707763671875,1.00433349609375,7.080535888671875,1.831817626953125,-4.605712890625,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:36.154,1.4900799,0.9005824,0.3530564,1.2263054,1.4051383,0.15049879,-0.021665063,0.981439,1.1417685,0.16741021,0.044766996,1.1777052,0.33486572,-0.11291018,-0.051520366,0.47533238,-0.23153627,-0.45918837,-0.4368368,-0.5302803,783.2967,801.02563,801.02563,799.011,782.0879,-0.0572509765625,-0.04205322265625,1.01220703125,6.56463623046875,-2.392578125,1.07666015625,1,2.0,1.0,1.0,2.0,65.00
2021-04-09 09:33:36.655,0.4990141,0.78532845,0.2459013,0.6400743,-0.06340605,0.0555947,-0.11826897,0.09048542,0.6921633,0.16741021,0.017171027,0.62146926,0.17428997,-0.11161466,-0.07067588,0.74806684,-0.103384845,-0.49000207,-0.36208966,0.738446,835.2747,807.8755,802.23444,821.5751,927.5458,-0.09765625,-0.03680419921875,0.9957275390625,5.659942626953125,6.86370849609375,0.34393310546875,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:37.159,0.3888825,0.43946832,0.28682238,0.47949657,-0.04787982,-0.16137469,-0.013846543,0.0017404112,0.6921633,0.07150063,-0.0015951197,0.65038323,0.21923326,-0.070784405,-0.084206305,0.7534167,-0.1387561,-0.5058547,-0.37069362,0.6479197,823.1868,812.3077,801.8315,809.4872,799.41394,-0.19970703125,-0.1171875,0.970703125,2.87109375,1.8243408203125,-12.69561767578125,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:37.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-09 09:33:37.676,0.30788743,0.37813205,0.3041113,0.35234827,-0.044940013,0.08304525,0.059433844,0.097856626,0.41840577,0.019127524,-0.01838458,0.54881173,0.19665422,-0.07156239,-0.15166022,0.7276606,-0.076253474,-0.53014165,-0.33161902,0.57576156,835.6777,785.31134,819.5604,841.31866,701.50183,-0.35101318359375,-0.02996826171875,0.9447021484375,22.153778076171875,4.5458984375,-29.78759765625,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:38.182,0.20784146,0.3778118,0.43093807,0.022938725,-0.023461027,0.18338318,0.18058705,0.031720962,-0.26792306,-0.03681534,-0.01838458,0.46230918,0.26963097,-0.053972647,-0.122284435,0.7628659,-0.056086447,-0.51636374,-0.33055604,0.478438,801.02563,794.17584,802.23444,795.38464,857.03296,-0.3544921875,0.1455078125,0.88555908203125,12.463836669921875,-6.572113037109375,-22.213592529296875,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:38.696,0.18726982,0.4610396,0.47166157,-0.12899314,0.043706775,0.32795796,0.036929764,0.17037058,-0.26792306,-0.0676877,-0.027668552,0.44072533,0.2593427,-0.0927158,-0.080711626,0.7556101,0.07170351,-0.49128756,-0.23254892,0.5037475,815.5311,815.9341,792.1612,805.8608,876.3736,0.05010986328125,0.07281494140625,0.83209228515625,4.53094482421875,-3.222503662109375,-4.0972900390625,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:39.222,0.18726982,0.63920456,0.45822427,1.1853367,0.043706775,0.4670834,0.01168195,0.3326729,-0.26792306,0.05460728,0.04273449,0.92600566,0.2593427,-0.031111237,-0.057447743,0.44939768,0.07170351,-0.18530388,-0.21808319,-0.13554561,830.0366,813.1135,801.8315,812.3077,624.5421,-0.2650146484375,0.02496337890625,0.98651123046875,-8.710479736328125,-2.87109375,8.037567138671875,1,1.0,1.0,1.0,1.0,65.00
2021-04-09 09:33:39.725,0.18726982,0.47640163,0.40529695,1.046264,0.043706775,0.2995897,-0.031208578,0.2300987,-0.26792306,0.064275995,0.22845434,0.92600566,0.2593427,0.011807979,-0.05541359,0.32610622,0.07170351,-0.1527642,-0.24014719,-0.18644221,780.87915,799.81683,804.2491,777.6557,696.26373,-0.064453125,0.1036376953125,1.13262939453125,6.71417236328125,-6.4599609375,-5.18890380859375,1,1.0,1.0,1.0,1.0,65.00
