TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-14 22:13:37.913,0.95661277,0.09037259,0.35537586,1.0583096,0.96914655,0.03796787,-0.09156888,0.9318569,0.78777784,0.7790034,0.4350262,0.6655172,0.5522821,1.2619377,0.67746955,0.60949904,0.2848254,0.5290375,-0.014019798,0.14882472,914.65204,821.5751,802.6374,808.2784,827.2161,0.18927001953125,-0.1162109375,0.97686767578125,3.970184326171875,-4.306640625,0.299072265625,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:38.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-14 22:13:38.423,1.14434,-0.11827452,0.26133236,1.2116098,0.9343778,-0.08655457,0.0070300666,0.79998624,1.0779426,0.32578242,0.36904442,0.8676082,0.6329105,1.248584,0.69740075,0.73076856,0.31871253,0.48695293,-0.06457785,0.18702343,736.1539,792.5641,798.20514,751.06226,711.1722,0.189208984375,-0.11669921875,0.9813232421875,4.306640625,-4.88983154296875,1.36077880859375,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:38.929,1.1677655,-0.14519973,0.3804393,1.2116098,0.94233197,-0.14267015,-0.13781607,0.79998624,1.011072,0.054804146,0.28915372,0.8676082,0.58323455,1.2350851,0.672403,0.73076856,0.31949064,0.6231366,-0.014157029,0.18702343,739.3773,814.7253,809.4872,800.2198,820.3663,0.2039794921875,-0.12518310546875,0.9759521484375,3.6785888671875,-4.508514404296875,1.727142333984375,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:39.432,1.1786243,-0.09788486,0.45555952,1.2449716,0.85358226,-0.08687503,-0.067649506,0.6057376,1.011072,0.04583869,0.18054426,0.8344174,0.6447796,1.2304358,0.64844036,0.7851684,0.31163234,0.6737246,-0.044409078,0.22565001,508.09525,823.5897,799.81683,593.91943,713.1868,0.17974853515625,-0.1400146484375,0.98016357421875,3.192596435546875,-2.99072265625,-1.016845703125,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:39.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-14 22:13:39.949,1.3589878,-0.16332974,0.44188875,1.1609088,0.95201534,-0.008277101,0.0677777,0.71961987,1.1991532,0.015292992,0.49603847,0.7455431,0.6527052,1.228353,0.5883215,0.76415133,0.38795826,0.7385917,0.068694495,0.25957525,719.2308,770.40295,789.7436,740.18317,763.5531,0.15802001953125,-0.12835693359375,0.98431396484375,5.48797607421875,-2.639312744140625,2.49725341796875,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:40.472,1.4038925,-0.16332974,0.3474814,1.1609088,0.93036324,-0.008277101,0.074422516,0.71961987,1.1991532,0.015292992,0.51321495,0.7455431,0.696002,1.228353,0.5806083,0.76415133,0.42070007,0.7385917,0.05253091,0.25957525,765.16486,823.5897,808.2784,816.7399,728.49817,0.16815185546875,-0.143798828125,0.99957275390625,4.822540283203125,-2.130889892578125,0.40374755859375,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:40.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-14 22:13:40.978,1.4097568,-0.053406835,0.31773,1.1609088,0.9029502,-0.34692466,-0.056649297,0.71961987,1.2063624,0.2620803,0.5269568,0.7455431,0.70722413,1.1258245,0.6345824,0.76415133,0.49485722,0.92064774,0.17058353,0.25957525,927.1429,862.674,831.2454,879.19415,763.5531,0.11199951171875,-0.14337158203125,0.9786376953125,5.8917236328125,9.817047119140625,18.07891845703125,1,1.0,1.0,1.0,1.0,100.00
