TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-05 17:40:53.249,0.7789662,0.72163385,0.52868855,0.96032536,0.6147947,0.45398277,0.5851579,1.0054003,0.56921804,0.72913903,0.7326501,0.88171697,0.84643716,0.71726376,0.82648283,1.111363,0.6216949,0.38412505,0.49114987,1.0395367,781.685,775.64105,761.9414,784.90845,683.7729,-0.00421142578125,0.08367919921875,0.995849609375,6.34033203125,-6.639404296875,0.605621337890625,1,1.0,1.0,1.0,1.0,100.00
2021-04-05 17:40:53.481,0.753651685,0.743415325,0.5158925249999,0.9322869300000,0.5996693,0.422900305,0.58955948,0.9525644200000,0.63051022,0.729773165,0.73474385,0.88575867,1.0024293800000,0.77009863,0.860327015,1.1369174000000,0.65882375,0.402120975,0.530126855,1.08100635,798.20515,791.355325,777.25275000000,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-04-05 17:40:53.752,0.72833717,0.7651968,0.5030965,0.9042485,0.5845439,0.39181784,0.59396106,0.89972854,0.6918024,0.7304073,0.7368376,0.88980037,1.1584216,0.8229335,0.8941712,1.1624718,0.6959526,0.4201169,0.56910384,1.122476,814.7253,807.0696,792.5641,734.1392,763.1502,0.0526123046875,0.05682373046875,0.99932861328125,3.409423828125,-5.682373046875,1.92901611328125,1,1.0,1.0,1.0,1.0,100.00
2021-04-05 17:40:54.254,0.9100975,0.80304676,0.5829922,0.9400557,0.588056,0.36239785,0.49820015,0.75682247,0.6918024,0.4575907,0.6397613,0.7363113,1.1398858,0.8283043,0.8807984,1.1940385,0.71242654,0.41641667,0.59289527,1.1137556,615.6777,798.20514,743.8095,524.21246,783.2967,-0.002685546875,0.11083984375,1.0191650390625,3.686065673828125,-15.491943359375,-68.82400512695312,1,1.0,1.0,1.0,1.0,100.00
2021-04-05 17:40:54.445,0.899303775,0.79310426,0.57184923,0.8887653200000,0.5899479249999,0.305595435,0.384039825,0.648922415,0.68443225,0.4269128749999,0.6251522,0.70851,1.16325505,0.876943265,0.91119275,1.2283335499999,0.7260288,0.43437932,0.612180205,1.1109236999999,718.82784999999,843.13186999999,779.6703,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-05 17:40:54.758,0.88851005,0.78316176,0.56070626,0.83747494,0.59183985,0.24879302,0.2698795,0.54102236,0.6770621,0.39623505,0.6105431,0.6807087,1.1866243,0.92558223,0.9415871,1.2626286,0.73963106,0.45234197,0.63146514,1.1080918,821.978,888.0586,815.5311,797.8022,284.8718,-0.1085205078125,0.01055908203125,1.04241943359375,5.24871826171875,4.284210205078125,-3.297271728515625,1,1.0,1.0,1.0,1.0,100.00
2021-04-05 17:40:54.842,1.001155125,0.7803154,0.64830543,0.85690245,0.592987325,0.25426752,0.189154295,0.4812019800000,0.5669638,0.380590395,0.514417185,0.658006425,1.1460187,0.9219206,0.87541205,1.27118865,0.7397319099999,0.4368430650000,0.6344062699999,1.0920711,847.5641,1256.73995,817.54575,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-05 17:40:55.265,1.1138002,0.77746904,0.7359046,0.87632996,0.5941348,0.25974202,0.10842909,0.4213816,0.4568655,0.36494574,0.41829127,0.63530415,1.1054131,0.91825897,0.809237,1.2797487,0.73983276,0.42134416,0.6373474,1.0760504,873.1502,1625.4213,819.5604,1098.7913,732.9304,-0.09869384765625,0.087890625,0.9869384765625,5.839385986328125,-3.5589599609375,-4.18701171875,1,1.0,1.0,1.0,1.0,100.00
2021-04-05 17:40:55.651,1.1138002,0.77746904,0.75157423,0.87632996,0.5941348,0.25974202,0.11414447,0.4213816,0.4568655,0.36494574,0.400135325,0.63530415,1.1054131,0.91825897,0.7957313500000,1.2797487,0.73983276,0.42134416,0.639543535,1.0760504,559.468875,1106.84985,565.91572999999,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-04-05 17:40:55.780,1.1138002,0.77746904,0.76724386,0.87632996,0.5941348,0.25974202,0.11985985,0.4213816,0.4568655,0.36494574,0.38197938,0.63530415,1.1054131,0.91825897,0.7822257,1.2797487,0.73983276,0.42134416,0.64173967,1.0760504,245.78755,588.2784,312.27106,171.24542,756.7033,-0.1256103515625,0.085205078125,0.96759033203125,4.254302978515625,-1.33087158203125,-3.33465576171875,1,1.0,4.0,1.0,4.0,100.00
