TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-17 09:18:41.042,0.37433,0.83194757,0.49409539,0.10199723,0.11314609,0.88836974,0.06412902,-0.070066236,0.6337443,0.29405278,0.7676976,0.35689825,0.36524186,0.7743059,0.23319621,0.2918001,0.04606914,0.34704968,-0.11802807,0.09897048,711.1722,777.6557,805.05493,712.7839,776.04395,-0.0489501953125,0.01019287109375,1.0006103515625,4.74029541015625,-4.583282470703125,1.4056396484375,1,2.0,1.0,1.0,2.0,70.00
2021-04-17 09:18:41.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-17 09:18:41.549,0.37433,0.83194757,0.53194404,0.10199723,0.11314609,0.88836974,-0.06524467,-0.070066236,0.6337443,0.29405278,0.6122364,0.35689825,0.36524186,0.7743059,0.19761054,0.2918001,0.04606914,0.34704968,-0.0152633125,0.09897048,802.6374,831.6484,816.7399,800.2198,743.8095,-0.04669189453125,0.017822265625,1.001220703125,4.6954345703125,-4.05242919921875,0.082244873046875,1,2.0,1.0,1.0,2.0,70.00
2021-04-17 09:18:42.058,0.37433,0.83194757,0.5670673,0.10199723,0.11314609,0.88836974,0.061077476,-0.070066236,0.6337443,0.29405278,0.41703323,0.35689825,0.36524186,0.7743059,0.24344863,0.2918001,0.04606914,0.34704968,-0.10667065,0.09897048,789.7436,804.2491,817.5458,796.5934,809.89014,-0.05645751953125,0.0113525390625,1.0009765625,4.59075927734375,-2.572021484375,1.757049560546875,1,2.0,1.0,1.0,2.0,80.00
2021-04-17 09:18:42.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-17 09:18:42.570,0.37433,0.83194757,0.68508524,0.10199723,0.11314609,0.88836974,0.17199065,-0.070066236,0.6337443,0.29405278,0.43622,0.35689825,0.36524186,0.7743059,0.2289798,0.2918001,0.04606914,0.34704968,-0.09166815,0.09897048,810.696,788.93774,811.9048,803.0403,793.7729,-0.06756591796875,-0.0078125,0.9976806640625,4.613189697265625,-4.74029541015625,1.5252685546875,1,2.0,1.0,1.0,2.0,80.00
2021-04-17 09:18:43.075,0.37433,0.83194757,0.62622845,0.10199723,0.11314609,0.88836974,0.097176805,-0.070066236,0.6337443,0.29405278,0.44645324,0.35689825,0.36524186,0.7743059,0.25851983,0.2918001,0.04606914,0.34704968,-0.15309095,0.09897048,791.75824,805.8608,812.3077,799.011,935.6044,-0.08245849609375,1.220703125E-4,0.99945068359375,5.914154052734375,-3.7982177734375,0.418701171875,1,2.0,1.0,1.0,2.0,80.00
2021-04-17 09:18:43.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-17 09:18:43.576,0.37433,0.83194757,0.6194681,0.10199723,0.11314609,0.88836974,0.09964176,-0.070066236,0.6337443,0.29405278,0.41309792,0.35689825,0.36524186,0.7743059,0.34693268,0.2918001,0.04606914,0.34704968,-0.17789723,0.09897048,807.47253,829.6337,806.6667,799.41394,706.337,-0.087158203125,0.02655029296875,0.99676513671875,6.512298583984375,-5.27862548828125,0.097198486328125,1,2.0,1.0,1.0,2.0,80.00
2021-04-17 09:18:44.089,0.37433,0.83194757,0.49099624,0.10199723,0.11314609,0.88836974,0.06457795,-0.070066236,0.6337443,0.29405278,0.21217547,0.35689825,0.36524186,0.7743059,0.36268523,0.2918001,0.04606914,0.34704968,-0.2254155,0.09897048,889.67035,811.50183,798.60803,882.4176,749.0476,-0.056396484375,0.07745361328125,1.00213623046875,12.979736328125,-12.261962890625,0.351409912109375,1,2.0,1.0,1.0,2.0,80.00
