TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-02 11:52:27.407,1.1654431,0.0,0.0,0.38702568,0.57981986,0.0,0.0,0.069931924,0.65104145,0.0,0.0,0.35437208,0.54555947,0.0,0.0,0.6534697,0.13771309,0.0,0.0,0.19931613,802.6374,759.12085,749.45056,814.7253,834.4689,0.20806884765625,0.0582275390625,0.97503662109375,4.59075927734375,-5.15899658203125,1.024322509765625,1,1.0,1.0,1.0,1.0,80.00
2021-04-02 11:52:27.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-04-02 11:52:27.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-04-02 11:52:27.924,1.1654431,0.0,0.0,0.38702568,0.57981986,0.0,0.0,0.069931924,0.65104145,0.0,0.0,0.35437208,0.54555947,0.0,0.0,0.6534697,0.13771309,0.0,0.0,0.19931613,804.65204,836.4835,866.7033,795.38464,750.65936,0.22039794921875,0.05072021484375,0.97943115234375,4.987030029296875,-5.764617919921875,-0.04486083984375,1,1.0,1.0,1.0,1.0,80.00
2021-04-02 11:52:28.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-04-02 11:52:28.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-04-02 11:52:28.426,1.1654431,0.0,0.0,0.38702568,0.57981986,0.0,0.0,0.069931924,0.65104145,0.0,0.0,0.35437208,0.54555947,0.0,0.0,0.6534697,0.13771309,0.0,0.0,0.19931613,790.9524,846.9597,833.663,794.57874,792.96704,0.2034912109375,0.07122802734375,0.9794921875,5.42816162109375,-4.007568359375,-0.83740234375,1,1.0,1.0,1.0,1.0,80.00
2021-04-02 11:52:28.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-04-02 11:52:28.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-02 11:52:28.943,1.1654431,0.0,0.0,0.38702568,0.57981986,0.0,0.0,0.069931924,0.65104145,0.0,0.0,0.35437208,0.54555947,0.0,0.0,0.6534697,0.13771309,0.0,0.0,0.19931613,807.8755,921.50183,840.5128,799.011,782.49084,0.161376953125,0.05914306640625,0.95123291015625,7.843170166015625,-19.96307373046875,-6.3104248046875,1,1.0,1.0,1.0,1.0,80.00
