TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-17 10:03:55.128,0.15867426,0.4386317,-0.25820497,0.37694016,-0.018642314,0.1558899,-0.068739,0.68198436,0.6148553,0.40040627,0.45195776,0.4585635,0.27803,0.54150003,0.048946813,0.24052227,-0.34537673,0.28734678,-0.4480002,-0.46311343,753.8828,780.87915,800.2198,751.4652,1053.2601,-0.21868896484375,-0.0350341796875,0.98040771484375,5.241241455078125,-4.3365478515625,1.248626708984375,1,2.0,1.0,1.0,2.0,65.00
2021-04-17 10:03:55.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-17 10:03:55.641,0.15867426,0.5559954,-0.06731034,0.37694016,-0.018642314,0.09268298,0.096890405,0.68198436,0.6148553,0.38647598,0.45195776,0.4585635,0.27803,0.51498866,0.057691544,0.24052227,-0.34537673,0.29476586,-0.44748336,-0.46311343,856.63007,844.1392,806.26373,836.8865,1023.8461,-0.22174072265625,-0.0421142578125,0.97760009765625,4.433746337890625,-5.4132080078125,1.547698974609375,1,2.0,1.0,1.0,2.0,65.00
2021-04-17 10:03:56.150,0.15867426,0.7217629,0.54924726,0.37694016,-0.018642314,0.3012894,0.24761985,0.68198436,0.6148553,0.38535774,0.48000693,0.4585635,0.27803,0.5251537,0.15185602,0.24052227,-0.34537673,0.21461913,-0.530767,-0.46311343,803.8461,817.9487,807.0696,808.2784,562.0879,-0.2164306640625,-0.05645751953125,0.98394775390625,3.641204833984375,-5.136566162109375,12.32177734375,1,2.0,1.0,1.0,2.0,65.00
2021-04-17 10:03:56.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-17 10:03:56.652,0.15867426,0.43907937,0.6670445,0.37694016,-0.018642314,0.20353472,0.21263762,0.68198436,0.6148553,0.39112672,0.41612694,0.4585635,0.27803,0.55171573,0.06523808,0.24052227,-0.34537673,0.18827423,-0.56648535,-0.46311343,757.9121,761.13556,801.02563,767.5824,507.28937,-0.25738525390625,-0.05316162109375,0.9635009765625,5.7720947265625,-1.1065673828125,13.4881591796875,1,2.0,1.0,1.0,2.0,65.00
2021-04-17 10:03:56.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-17 10:03:57.161,0.15867426,0.35472456,0.69618475,2.0424852,-0.018642314,0.19999419,0.16106981,1.8028314,0.6148553,0.34152895,0.39650732,1.4316573,0.27803,0.48704875,0.05173965,1.070533,-0.34537673,0.15141441,-0.59168327,-0.17822082,800.6227,797.8022,807.0696,815.5311,859.85345,-0.2474365234375,0.0029296875,0.9779052734375,6.23565673828125,-9.16656494140625,11.775970458984375,1,2.0,1.0,1.0,2.0,65.00
2021-04-17 10:03:57.661,1.9947693,0.35472456,0.4962746,1.9973325,1.7023425,0.19999419,0.095253065,1.7383288,1.2963728,0.34152895,0.27661642,1.4327487,0.8759853,0.48704875,-0.034296885,1.0178888,-0.35246798,0.15141441,-0.6583182,-0.18210208,871.9414,840.9158,812.3077,857.4359,1068.9744,-0.23443603515625,0.029296875,0.981201171875,5.4730224609375,-5.9515380859375,2.28790283203125,1,1.0,1.0,1.0,1.0,65.00
2021-04-17 10:03:58.162,1.9947693,0.26031303,0.29608735,1.8271143,1.7023425,0.20132768,0.10358504,1.5505117,1.2963728,0.16496032,0.21302652,1.4327487,0.8759853,0.44157025,-0.13378872,0.87049013,-0.35246798,0.18521914,-0.7255872,-0.1819789,763.5531,773.6264,769.19415,753.8828,516.1539,-0.2459716796875,0.0709228515625,0.97802734375,10.863800048828125,-2.160797119140625,-18.19854736328125,1,1.0,1.0,1.0,1.0,65.00
